#title	COVID-19: Coronavirus Vaccine Development Updates			
#caption	SARS-CoV2 vaccines in clinical phase III trials and early or limited use			
#meta	column	annotator	no context	header	caption
header	Vaccine Candidates	Q87719492	Q28051899	Q28051899	Q28051899
data	BBIBP-CorV	Q106322660	Q97154230	Q97154230	Q97154230
data	BBIBP-CorV	Q97154230	Q97154230	Q97154230	Q97154230
data	BBIBP-CorV	Q97154233	Q97154230	Q97154230	Q97154230
data	Ad5-nCOV	Q96695265	Q100788760	Q100788760	Q100788760
data	Sputnik V	Q98270627	Q98270627	Q98270627	Q98270627
data	EpiVacCorona	Q98947046	Q98947046	Q98947046	Q98947086
data	Ad26.COV2-S	Q98655215	Q105088772	Q105088757	Q105088772
data	AZD 1222	Q95042269	Q106642380	Q104675764	Q104675764
data	NVX-COV2373	Q97154235	Q97154235	Q97154235	Q97154235
data	mRNA 1273	Q87775025	Q87775025	Q87775025	Q87775009
data	BNT162	Q97154240	Q107501388	Q97154240	Q93704395
acc	Vaccine Candidates	1.0	0.45	0.55	0.27
